what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1394417094192
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1394417094193
os,sysinfo,,,"win32",1394417094195
arch,sysinfo,,,"x86",1394417094195
ws,sysinfo,,,"win32",1394417094195
locale,sysinfo,,,"zh_CN",1394417094195
processors,sysinfo,,,"4",1394417094196
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394417094196
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1394417094196
java.specification.name,sysinfo,,,"Java Platform API Specification",1394417094196
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394417094196
java.specification.version,sysinfo,,,"1.6",1394417094196
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1394417094196
java.version,sysinfo,,,"1.6.0_35",1394417094196
java.vm.info,sysinfo,,,"mixed mode",1394417094196
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394417094196
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394417094196
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394417094196
java.vm.specification.version,sysinfo,,,"1.0",1394417094196
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1394417094196
java.vm.version,sysinfo,,,"20.10-b01",1394417094196
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1394417094916
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1394417094917
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1394417095065
